TicketID,CreationDate,ResolutionDate,ReleaseIndex,ReleaseID,ReleaseName,ReleaseDate
"SYNCOPE-1128","2017-06-27T14:09:17.000+0000","2017-06-27T14:31:19.000+0000",18,"12326735","1.1.8","2014-07-03T00:00"
"SYNCOPE-1102","2017-05-31T12:51:32.000+0000","2017-06-06T11:01:10.000+0000",15,"12325150","1.1.5","2013-11-28T00:00"
"SYNCOPE-1102","2017-05-31T12:51:32.000+0000","2017-06-06T11:01:10.000+0000",16,"12325662","1.1.6","2014-02-22T00:00"
"SYNCOPE-1102","2017-05-31T12:51:32.000+0000","2017-06-06T11:01:10.000+0000",17,"12326288","1.1.7","2014-04-11T00:00"
"SYNCOPE-1102","2017-05-31T12:51:32.000+0000","2017-06-06T11:01:10.000+0000",18,"12326735","1.1.8","2014-07-03T00:00"
"SYNCOPE-928","2016-09-01T13:59:24.000+0000","2016-09-01T14:32:13.000+0000",18,"12326735","1.1.8","2014-07-03T00:00"
"SYNCOPE-812","2016-03-24T13:46:16.000+0000","2016-03-24T16:34:52.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-800","2016-03-23T14:37:01.000+0000","2016-03-29T10:02:44.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-776","2016-03-14T15:37:14.000+0000","2016-03-17T08:49:53.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-775","2016-03-03T12:01:42.000+0000","2016-03-09T14:14:01.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-769","2016-02-18T15:16:05.000+0000","2016-02-18T16:10:42.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-768","2016-02-18T14:03:18.000+0000","2016-02-19T15:41:46.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-762","2016-01-29T15:03:21.000+0000","2016-02-02T13:31:51.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-759","2016-01-21T11:12:30.000+0000","2016-01-22T16:45:20.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-758","2016-01-20T14:30:07.000+0000","2016-02-12T15:27:49.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-756","2016-01-04T12:03:17.000+0000","2016-01-22T16:45:33.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-741","2015-12-09T16:26:29.000+0000","2015-12-11T08:45:21.000+0000",26,"12333143","1.2.6","2015-11-05T00:00"
"SYNCOPE-741","2015-12-09T16:26:29.000+0000","2015-12-11T08:45:21.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-739","2015-12-03T12:46:38.000+0000","2015-12-07T08:21:47.000+0000",26,"12333143","1.2.6","2015-11-05T00:00"
"SYNCOPE-738","2015-12-02T16:15:53.000+0000","2016-09-05T13:40:44.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-737","2015-12-01T17:02:10.000+0000","2016-04-27T12:26:48.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-735","2015-11-25T11:06:47.000+0000","2015-11-25T11:32:02.000+0000",26,"12333143","1.2.6","2015-11-05T00:00"
"SYNCOPE-733","2015-11-23T14:36:58.000+0000","2015-11-25T10:44:28.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-730","2015-11-11T08:10:55.000+0000","2016-03-15T15:32:04.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-729","2015-11-10T17:33:41.000+0000","2015-11-10T18:04:13.000+0000",26,"12333143","1.2.6","2015-11-05T00:00"
"SYNCOPE-729","2015-11-10T17:33:41.000+0000","2015-11-10T18:04:13.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-726","2015-11-09T08:28:16.000+0000","2015-11-09T08:32:27.000+0000",18,"12326735","1.1.8","2014-07-03T00:00"
"SYNCOPE-717","2015-10-28T13:00:17.000+0000","2015-10-28T13:14:30.000+0000",25,"12332351","1.2.5","2015-07-28T00:00"
"SYNCOPE-716","2015-10-27T09:08:46.000+0000","2015-10-27T09:10:48.000+0000",25,"12332351","1.2.5","2015-07-28T00:00"
"SYNCOPE-712","2015-10-19T07:43:21.000+0000","2015-10-22T12:45:16.000+0000",25,"12332351","1.2.5","2015-07-28T00:00"
"SYNCOPE-710","2015-10-14T15:32:31.000+0000","2015-10-15T10:27:14.000+0000",25,"12332351","1.2.5","2015-07-28T00:00"
"SYNCOPE-707","2015-10-13T11:12:42.000+0000","2015-10-13T14:04:41.000+0000",25,"12332351","1.2.5","2015-07-28T00:00"
"SYNCOPE-707","2015-10-13T11:12:42.000+0000","2015-10-13T14:04:41.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-706","2015-10-12T14:06:56.000+0000","2015-10-13T07:53:52.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-703","2015-10-07T09:41:59.000+0000","2015-10-07T09:54:00.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-691","2015-09-07T12:14:39.000+0000","2015-09-07T14:44:35.000+0000",25,"12332351","1.2.5","2015-07-28T00:00"
"SYNCOPE-689","2015-08-28T14:26:43.000+0000","2015-09-02T10:56:11.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-688","2015-08-28T11:11:34.000+0000","2015-09-04T12:52:18.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-686","2015-08-25T09:17:07.000+0000","2015-08-26T14:54:31.000+0000",25,"12332351","1.2.5","2015-07-28T00:00"
"SYNCOPE-684","2015-07-23T08:47:24.000+0000","2015-07-23T08:57:48.000+0000",24,"12329742","1.2.4","2015-05-05T00:00"
"SYNCOPE-683","2015-07-13T09:51:17.000+0000","2015-07-13T10:51:50.000+0000",24,"12329742","1.2.4","2015-05-05T00:00"
